,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Reporting Type,Units
424777,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2013,2.32137,2013,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424778,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2014,2.32641,2014,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424779,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2015,2.44379,2015,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424780,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2016,2.63697,2016,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424781,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2017,2.83579,2017,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424782,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2018,3.21758,2018,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424783,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2019,3.84425,2019,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424784,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2020,2.92267,2020,Institute of Statistics,Final data. The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,G,PERCENT
424785,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2021,3.26179,2021,Institute of Statistics,Semi final data. The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,G,PERCENT
424786,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2022,3.95311,2022,Institute of Statistics,Based on QGDP estimations. The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,G,PERCENT
424787,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2008,0.8,2008,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424788,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2009,1.1,2009,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424789,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2010,1.0,2010,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424790,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2011,0.9,2011,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424791,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2012,0.9,2012,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424792,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2013,1.0,2013,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424793,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2014,1.1,2014,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424794,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2015,1.3,2015,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424795,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2016,1.4,2016,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424796,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2017,1.6,2017,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424797,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2018,1.7,2018,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424798,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2019,1.8,2019,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424799,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2020,1.0,2020,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424800,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2021,1.2,2021,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424801,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,2022,1.2,2022,National Statistics Office,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424802,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2008,2.71337,2008,UNWTO,  ,N,G,PERCENT
424803,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2009,2.587,2009,UNWTO,  ,N,G,PERCENT
424804,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2010,2.61694,2010,UNWTO,  ,N,G,PERCENT
424805,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2011,2.68884,2011,UNWTO,  ,N,G,PERCENT
424806,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2012,2.68669,2012,UNWTO,  ,N,G,PERCENT
424807,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2013,2.76441,2013,UNWTO,  ,N,G,PERCENT
424808,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2014,2.79162,2014,UNWTO,  ,N,G,PERCENT
424809,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2015,2.91486,2015,UNWTO,  ,N,G,PERCENT
424810,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2016,2.91522,2016,UNWTO,  ,N,G,PERCENT
424811,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2017,2.83053,2017,UNWTO,  ,N,G,PERCENT
424812,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2018,2.82819,2018,UNWTO,  ,N,G,PERCENT
424813,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2019,2.91841,2019,UNWTO,  ,N,G,PERCENT
424814,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2020,1.49648,2020,UNWTO,  ,N,G,PERCENT
424815,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2021,2.06196,2021,UNWTO,  ,N,G,PERCENT
424816,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),21,Northern America,2022,2.14134,2022,UNWTO,  ,N,G,PERCENT
424817,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2011,10.53691,2011,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424818,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2012,10.22042,2012,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424819,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2013,10.67817,2013,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424820,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2014,10.93971,2014,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424821,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2015,11.28182,2015,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424822,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2016,11.3816,2016,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424823,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2017,10.83745,2017,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424824,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2018,10.69594,2018,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424825,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2019,10.63667,2019,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424826,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2020,7.52403,2020,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424827,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2021,9.73113,2021,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424828,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),28,Antigua and Barbuda,2022,11.70779,2022,Eastern Caribbean Central Bank (ECCB) - (2018 Base Year),  ,C,G,PERCENT
424829,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),31,Azerbaijan,2016,3.7,2016,The Statistical Committee,  ,C,G,PERCENT
424830,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),31,Azerbaijan,2022,2.23053,2022,The Statistical Committee,  ,C,G,PERCENT
424831,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,2016,1.91767,2016,Ministerio de Turismo y Deportes e INDEC,  ,C,G,PERCENT
424832,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,2017,1.98626,2017,Ministerio de Turismo y Deportes e INDEC,  ,C,G,PERCENT
424833,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,2018,1.83979,2018,Ministerio de Turismo y Deportes e INDEC,Revised data.,C,G,PERCENT
424834,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,2019,1.77327,2019,Ministerio de Turismo y Deportes e INDEC,Revised data.,C,G,PERCENT
424835,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,2020,0.88322,2020,Ministerio de Turismo y Deportes e INDEC,Revised data.,C,G,PERCENT
424836,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,2021,0.84015,2021,Ministerio de Turismo y Deportes e INDEC,Provisional data.,C,G,PERCENT
424837,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,2022,1.68395,2022,Ministerio de Turismo y Deportes e INDEC,Provisional data.,C,G,PERCENT
424838,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2008,2.9,2008,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424839,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2009,2.8,2009,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424840,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2010,2.7,2010,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424841,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2011,2.7,2011,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424842,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2012,2.8,2012,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424843,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2013,2.9,2013,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424844,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2014,3.0,2014,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424845,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2015,3.1,2015,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424846,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2016,3.1,2016,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424847,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2017,3.1,2017,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424848,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2018,3.1,2018,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424849,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2019,2.4,2019,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",Revised data.,C,G,PERCENT
424850,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2020,1.4,2020,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",Revised data.,C,G,PERCENT
424851,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2021,1.5,2021,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",Revised data.,C,G,PERCENT
424852,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2022,2.5,2022,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,G,PERCENT
424853,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2018,5.19838,2018,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Break of the series. Revised data.,C,G,PERCENT
424854,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2019,5.33122,2019,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,G,PERCENT
424855,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2020,3.36035,2020,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,G,PERCENT
424856,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2021,2.6604,2021,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Provisional data.,C,G,PERCENT
424857,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),44,Bahamas,2012,15.2,2012,Department of Statistics,  ,C,G,PERCENT
424858,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2017,7.32509,2017,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Revised data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,G,PERCENT
424859,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2018,6.12936,2018,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Revised data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,G,PERCENT
424860,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2019,6.55499,2019,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Revised data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,G,PERCENT
424861,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2020,1.39631,2020,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Provisional data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,G,PERCENT
424862,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2021,3.2,2021,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,G,PERCENT
424863,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2022,6.0,2022,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,G,PERCENT
424864,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),50,Bangladesh,2019,3.02,2019,Tourism Satellite Account 2020 https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b343a8b4_956b_45ca_872f_4cf9b2f1a6e0/2021-11-25-09-20-712d6a0fe8d9ed6239e23d39b70c55f7.pdf),  ,C,G,PERCENT
424865,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2008,3.21803,2008,UNWTO,  ,N,G,PERCENT
424866,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2009,3.06021,2009,UNWTO,  ,N,G,PERCENT
424867,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2010,2.95961,2010,UNWTO,  ,N,G,PERCENT
424868,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2011,2.9382,2011,UNWTO,  ,N,G,PERCENT
424869,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2012,3.03078,2012,UNWTO,  ,N,G,PERCENT
424870,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2013,3.1413,2013,UNWTO,  ,N,G,PERCENT
424871,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2014,3.24162,2014,UNWTO,  ,N,G,PERCENT
424872,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2015,3.41259,2015,UNWTO,  ,N,G,PERCENT
424873,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2016,3.4976,2016,UNWTO,  ,N,G,PERCENT
424874,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2017,3.44671,2017,UNWTO,  ,N,G,PERCENT
424875,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2018,3.44794,2018,UNWTO,  ,N,G,PERCENT
424876,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2019,2.82263,2019,UNWTO,  ,N,G,PERCENT
424877,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2020,1.93493,2020,UNWTO,  ,N,G,PERCENT
424878,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2021,1.73692,2021,UNWTO,  ,N,G,PERCENT
424879,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),53,Australia and New Zealand,2022,2.56223,2022,UNWTO,  ,N,G,PERCENT
424880,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),56,Belgium,2016,2.18169,2016,"TSA Belgium, 2016 and 2019. ",  ,C,G,PERCENT
424881,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),56,Belgium,2019,1.855,2019,"TSA Belgium, 2016 and 2019. ",Break in series.,C,G,PERCENT
424882,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2008,4.9,2008,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,G,PERCENT
424883,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2009,4.3,2009,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,G,PERCENT
